"","Site","Sample","Latitude","Longitude","cluster"
"1","Butler Bay","PSTR42",17.75036327,-64.89359563,3
"2","Butler Bay","PSTR44",17.75036327,-64.89359563,4
"3","Butler Bay","PSTR32",17.75036327,-64.89359563,4
"4","Butler Bay","PSTR86",17.75036327,-64.89359563,4
"5","Butler Bay","PSTR30",17.75036327,-64.89359563,4
"6","Butler Bay","PSTR31",17.75036327,-64.89359563,4
"7","Butler Bay","PSTR37",17.75036327,-64.89359563,4
"8","Butler Bay","PSTR38",17.75036327,-64.89359563,4
"9","Butler Bay","PSTR87",17.75036327,-64.89359563,4
"10","Butler Bay","PSTR88",17.75036327,-64.89359563,3
"11","Butler Bay","PSTR89",17.75036327,-64.89359563,4
"12","Butler Bay","PSTR90",17.75036327,-64.89359563,4
"13","Butler Bay","PSTR91",17.75036327,-64.89359563,4
"14","Cane Bay","PSTR94",17.774005,-64.811834,2
"15","Cane Bay","PSTR93",17.774005,-64.811834,2
"16","Cane Bay","PSTR95",17.774005,-64.811834,3
"17","Cane Bay","PSTR96",17.774005,-64.811834,2
"18","Channel Rock","PSTR73",17.77100832,-64.59435329,3
"19","Channel Rock","PSTR71",17.77100832,-64.59435329,3
"20","Channel Rock","PSTR72",17.77100832,-64.59435329,3
"21","Channel Rock","PSTR74",17.77100832,-64.59435329,3
"22","Deep end","PSTR14",17.76146752,-64.66971213,3
"23","Deep end","PSTR57",17.76146752,-64.66971213,2
"24","Deep end","PSTR13",17.76146752,-64.66971213,2
"25","Deep end","PSTR81",17.76146752,-64.66971213,2
"26","Deep end","PSTR60",17.76146752,-64.66971213,2
"27","Deep end","PSTR1",17.76146752,-64.66971213,3
"28","Deep end","PSTR16",17.76146752,-64.66971213,2
"29","Deep end","PSTR53",17.76146752,-64.66971213,2
"30","Deep end","PSTR82",17.76146752,-64.66971213,2
"31","Deep end","PSTR15",17.76146752,-64.66971213,2
"32","Deep end","PSTR83",17.76146752,-64.66971213,2
"33","Deep end","PSTR58",17.76146752,-64.66971213,2
"34","Deep end","PSTR54",17.76146752,-64.66971213,2
"35","Deep end","PSTR55",17.76146752,-64.66971213,2
"36","Deep end","PSTR52",17.76146752,-64.66971213,2
"37","Deep end","PSTR85",17.76146752,-64.66971213,2
"38","Deep end","PSTR84",17.76146752,-64.66971213,2
"39","Fredericksted Pier","PSTR49",17.71362935,-64.88500452,3
"40","Fredericksted Pier","PSTR51",17.71362935,-64.88500452,3
"41","Fredericksted Pier","PSTR48",17.71362935,-64.88500452,4
"42","Isaac Bay","PSTR10",17.7498472,-64.5711886,1
"43","Isaac Bay","PSTR2",17.7498472,-64.5711886,2
"44","Isaac Bay","PSTR4",17.7498472,-64.5711886,3
"45","Isaac Bay","PSTR3",17.7498472,-64.5711886,3
"46","Isaac Bay","PSTR6",17.7498472,-64.5711886,2
"47","Isaac Bay","PSTR9",17.7498472,-64.5711886,1
"48","Joe's Reef","PSTR63",17.76649239,-64.6290718,3
"49","Joe's Reef","PSTR61",17.76649239,-64.6290718,2
"50","Joe's Reef","PSTR62",17.76649239,-64.6290718,2
"51","Joe's Reef","PSTR66",17.76649239,-64.6290718,3
"52","Joe's Reef","PSTR69",17.76649239,-64.6290718,2
"53","North Star","PSTR77",17.7687095,-64.82227668,4
"54","North Star","PSTR75",17.7687095,-64.82227668,4
"55","North Star","PSTR78",17.7687095,-64.82227668,4
"56","North Star","PSTR79",17.7687095,-64.82227668,4
"57","North Star","PSTR76",17.7687095,-64.82227668,4
"58","North Star","PSTR80",17.7687095,-64.82227668,4
"59","The Palms","PSTR19",17.76609086,-64.72791607,2
"60","The Palms","PSTR18",17.76609086,-64.72791607,2
"61","The Palms","PSTR22",17.76609086,-64.72791607,1
"62","The Palms","PSTR20",17.76609086,-64.72791607,2
"63","The Palms","PSTR21",17.76609086,-64.72791607,1
"64","The Palms","PSTR27",17.76609086,-64.72791607,2
"65","The Palms","PSTR23",17.76609086,-64.72791607,1
"66","The Palms","PSTR24",17.76609086,-64.72791607,2
"67","The Palms","PSTR26",17.76609086,-64.72791607,2
"68","WAPA","PSTR33",17.75815298,-64.71226393,4
"69","WAPA","PSTR34",17.75815298,-64.71226393,4
"70","WAPA","PSTR36",17.75815298,-64.71226393,3
